EquipmentId,latitude,longitude,speed,odometer reading,eventDate,eventGeneratedTime
EQPT-4,12.9294916,74.9173533,0,750424,1716229800000,1716229815000
EQPT-4,12.92936,74.91744,0,750429,1716229800000,1716262019000
EQPT-4,12.9292766,74.9175266,8,750452,1716229800000,1716262166000
EQPT-4,12.9290049,74.9177016,7,750488,1716229800000,1716262183000
EQPT-4,12.9289483,74.9177,8,750492,1716229800000,1716262186000
EQPT-4,12.928745,74.9176766,8,750515,1716229800000,1716262195000
EQPT-4,12.9287266,74.9176866,7,750519,1716229800000,1716262196000
EQPT-4,12.9287149,74.9176983,6,750523,1716229800000,1716262197000
EQPT-4,12.9287066,74.9177133,7,750523,1716229800000,1716262198000
EQPT-4,12.9287433,74.9177916,6,750532,1716229800000,1716262208000
EQPT-4,12.9287583,74.9178,7,750532,1716229800000,1716262209000
EQPT-4,12.9288016,74.9178133,10,750539,1716229800000,1716262211000
EQPT-4,12.92934,74.9179483,21,750601,1716229800000,1716262223000
EQPT-4,12.9300266,74.9180133,31,750678,1716229800000,1716262233000
EQPT-4,12.9309816,74.9180916,33,750784,1716229800000,1716262244000
EQPT-4,12.9319216,74.9181999,34,750889,1716229800000,1716262255000
EQPT-4,12.9329,74.918305,35,750999,1716229800000,1716262266000
EQPT-4,12.933585,74.9183883,39,751075,1716229800000,1716262273000
EQPT-4,12.9337383,74.9184566,39,751094,1716229800000,1716262275000
EQPT-4,12.9339183,74.9186066,38,751120,1716229800000,1716262277000
EQPT-4,12.9341133,74.9188616,40,751155,1716229800000,1716262280000
EQPT-4,12.9343483,74.9194516,41,751225,1716229800000,1716262286000
EQPT-4,12.9345283,74.9202266,42,751311,1716229800000,1716262293000
EQPT-4,12.934545,74.9211766,42,751414,1716229800000,1716262302000
EQPT-4,12.9346383,74.922175,41,751525,1716229800000,1716262311000
EQPT-4,12.9347633,74.9227483,42,751588,1716229800000,1716262317000
EQPT-4,12.9350899,74.923665,41,751694,1716229800000,1716262326000
EQPT-4,12.9354733,74.9245066,36,751795,1716229800000,1716262336000
EQPT-4,12.9359299,74.9253533,38,751900,1716229800000,1716262346000
EQPT-4,12.9362916,74.926025,34,751983,1716229800000,1716262354000
EQPT-4,12.9365,74.9262466,23,752017,1716229800000,1716262358000
EQPT-4,12.9367266,74.9264333,15,752049,1716229800000,1716262365000
EQPT-4,12.93692,74.9265966,19,752077,1716229800000,1716262370000
EQPT-4,12.9371583,74.9267833,21,752110,1716229800000,1716262376000
EQPT-4,12.93735,74.9268416,28,752141,1716229800000,1716262379000
EQPT-4,12.9379616,74.9269833,30,752203,1716229800000,1716262387000
EQPT-4,12.9380216,74.9270433,30,752235,1716229800000,1716262388000
EQPT-4,12.9385316,74.9274716,40,752286,1716229800000,1716262394000
EQPT-4,12.9392716,74.9280883,39,752392,1716229800000,1716262403000
EQPT-4,12.9397383,74.9284883,29,752459,1716229800000,1716262410000
EQPT-4,12.9400133,74.9287899,27,752505,1716229800000,1716262416000
EQPT-4,12.940035,74.9288666,30,752513,1716229800000,1716262417000
EQPT-4,12.94006,74.9290133,28,752529,1716229800000,1716262419000
EQPT-4,12.9402183,74.9295483,18,752590,1716229800000,1716262426000
EQPT-4,12.9402616,74.929665,7,752601,1716229800000,1716262430000
EQPT-4,12.940335,74.9298933,17,752630,1716229800000,1716262439000
EQPT-4,12.9403816,74.9300433,10,752647,1716229800000,1716262443000
EQPT-4,12.9404049,74.9301,11,752650,1716229800000,1716262445000
EQPT-4,12.9405733,74.9304233,14,752693,1716229800000,1716262459000
EQPT-4,12.9405966,74.9305266,16,752705,1716229800000,1716262461000
EQPT-4,12.9406916,74.9307516,17,752732,1716229800000,1716262466000
EQPT-4,12.9408266,74.9310183,25,752764,1716229800000,1716262471000
EQPT-4,12.94084,74.9311583,26,752788,1716229800000,1716262473000
EQPT-4,12.9408233,74.931305,26,752795,1716229800000,1716262475000
EQPT-4,12.9407933,74.9314716,29,752814,1716229800000,1716262478000
EQPT-4,12.9407583,74.9317133,30,752840,1716229800000,1716262481000
EQPT-4,12.9407716,74.931855,27,752864,1716229800000,1716262483000
EQPT-4,12.9407866,74.93202,15,752873,1716229800000,1716262487000
EQPT-4,12.9407983,74.9320283,9,752873,1716229800000,1716262489000
EQPT-4,12.94083,74.9320616,6,752889,1716229800000,1716262491000
EQPT-4,12.9410549,74.9323883,20,752924,1716229800000,1716262501000
EQPT-4,12.9412499,74.932575,20,752953,1716229800000,1716262505000
EQPT-4,12.9413399,74.9326649,23,752967,1716229800000,1716262507000
EQPT-4,12.9413699,74.932725,25,752975,1716229800000,1716262508000
EQPT-4,12.9414283,74.9329133,26,752996,1716229800000,1716262511000
EQPT-4,12.9414633,74.9330983,22,753017,1716229800000,1716262514000
EQPT-4,12.94141,74.9331966,20,753029,1716229800000,1716262516000
EQPT-4,12.94133,74.9332833,21,753042,1716229800000,1716262518000
EQPT-4,12.9412683,74.9333166,23,753050,1716229800000,1716262519000
EQPT-4,12.9409083,74.933645,33,753104,1716229800000,1716262525000
EQPT-4,12.940185,74.9342383,34,753207,1716229800000,1716262534000
EQPT-4,12.93996,74.93443,38,753239,1716229800000,1716262537000
